x,n_points,theta,spans,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var,BIN_mean,BIN_min,BIN_max,BIN_std,BIN_var
15,25,1.0,30000,0.996448275862069,0.9361,1.0,0.012717862036455843,0.0001617440147783248,0.9883172413793102,0.9286,1.0,0.02187614599390849,0.0004785657635467984,0.9967413793103448,0.9375,1.0,0.012848443964748083,0.00016508251231527144,0.9597379310344828,0.6388,1.0,0.09199821975681728,0.008463672438423645,0.993255172413793,0.8676,1.0,0.025897332821945965,0.0006706718472906397,0.9316586206896552,0.1707,1.0,0.1735928230849449,0.03013446822660098,1.0,1.0,1.0,0.0,0.0,0.96505,0.0,1.0,0.18248355381730458,0.033300247413793095
16,50,0.0,1500,0.9230533333333333,0.8716,0.9748,0.02576037766554025,0.0006635970574712649,0.8239566666666666,0.6564,0.9393,0.07199278547826533,0.005182961160919531,0.9697199999999998,0.9494,0.9853,0.008749360567768798,7.655131034482756e-05,0.6914766666666665,0.496,0.8208,0.08126596897006567,0.006604157712643677,0.9109599999999999,0.831,0.9864,0.033561766013293096,0.0011263921379310354,0.7740400000000002,0.6736,0.8593,0.04823277323348826,0.002326400413793102,0.9864966666666668,0.9675,0.9971,0.0068365893560304114,4.673895402298832e-05,0.7996300000000002,0.6608,0.8946,0.051145257305321934,0.0026158373448275864
17,50,0.0,10000,0.8056166666666665,0.7126,0.9319,0.056073031709169,0.003144184885057472,0.7294000000000002,0.6257,0.8459,0.05172519562136972,0.0026754958620689656,0.8828799999999999,0.7935,0.9668,0.045967592782382,0.0021130195862068975,0.52735,0.2838,0.6775,0.08703977588555072,0.007575922586206895,0.7386033333333334,0.4481,0.8851,0.09166197829180761,0.00840191826436781,0.6384466666666667,0.4452,0.8140000000000001,0.08729402449563017,0.00762024671264368,0.9704466666666666,0.9403,1.0,0.017355963564849048,0.00030122947126436767,0.6111466666666666,0.4718,0.7386,0.07779100086830065,0.006051439816091952
18,50,0.0,20000,0.8330633333333332,0.6957,0.9897,0.0686025056510999,0.004706303781609195,0.7383833333333331,0.6134,0.8692,0.060674059010269045,0.0036813414367816103,0.8389433333333333,0.6817,0.9564,0.07026702117186852,0.004937454264367818,0.5822233333333334,0.3722,0.8842,0.1287943821952552,0.016587992885057475,0.7528666666666666,0.5657,0.9737,0.09383754977154099,0.008805485747126434,0.5519466666666666,0.3606,0.7967,0.1200812131314738,0.014419497747126434,0.9693366666666666,0.9198,1.0,0.02170584671486455,0.0004711437816091962,0.7530233333333334,0.4884,0.9721,0.11056834267682072,0.012225358402298854
19,50,0.0,30000,0.9669333333333333,0.8519,1.0,0.04771949166805396,0.0022771498850574713,0.9064633333333333,0.7491,1.0,0.07886793624671619,0.00622015136781609,0.9211033333333332,0.7529,1.0,0.07053924064848137,0.0049757844712643665,0.7342399999999999,0.4224,1.0,0.1417665239411083,0.020097747310344832,0.9219,0.7491,1.0,0.07579460903402489,0.005744822758620687,0.7156699999999999,0.4433,1.0,0.13407245120610645,0.017975422172413796,0.9943066666666667,0.9451,1.0,0.015303592846877122,0.00023419995402298863,0.9465466666666666,0.6085,1.0,0.08674742859483554,0.007525116367816092
20,50,0.4,1500,0.8987700000000002,0.7935,0.975,0.043305571434185924,0.00187537251724138,0.7933866666666667,0.6776,0.9586,0.06778989718917959,0.004595470160919538,0.96968,0.9275,0.9917,0.01334872846843986,0.0001781885517241368,0.6474966666666667,0.5313,0.8138,0.07459770488904227,0.005564817574712642,0.9333766666666665,0.8375,0.9902,0.0352084402433254,0.001239634264367816,0.70412,0.5735,0.8436,0.06882021755870572,0.0047362223448275875,0.9881533333333336,0.9756,1.0,0.005246787741961298,2.7528781609195336e-05,0.7790400000000001,0.6831,0.8482,0.04934921723167765,0.00243534524137931
21,50,0.4,10000,0.8070000000000002,0.6706,0.9285,0.06383486238077447,0.004074889655172415,0.7331633333333334,0.6335,0.8183,0.050086163574476296,0.0025086237816091964,0.8973399999999999,0.8134,0.977,0.03399340301111177,0.0011555514482758627,0.5440233333333333,0.3924,0.8426,0.10763747483337645,0.011585825988505749,0.7957466666666666,0.6656,0.9104,0.061028623772294184,0.003724492919540231,0.5865133333333332,0.3731,0.7442,0.08685186251882288,0.007543246022988509,0.9694466666666667,0.9241,1.0,0.020081776493289558,0.00040327774712643706,0.6631566666666668,0.5358,0.7955,0.06433459777805692,0.004138940471264367
22,50,0.4,20000,0.87358,0.6391,0.9872,0.07183133693254803,0.0051597409655172385,0.7499299999999999,0.6092,0.9041,0.07831555599205582,0.00613332631034483,0.84928,0.5727,0.9762,0.08528937921509659,0.0072742782068965514,0.50207,0.2647,0.7685,0.11847862065252168,0.014037183551724139,0.7996866666666665,0.5694,0.9619,0.08762224852616833,0.007677658436781609,0.5269166666666667,0.2656,0.7307,0.10535433507711126,0.011099535919540235,0.9751033333333332,0.9066,1.0,0.029211836091147907,0.0008533313678160913,0.7580666666666667,0.4802,0.9595,0.12269725942849895,0.015054617471264372
23,50,0.4,30000,0.9787166666666667,0.8937,1.0,0.03220834206926173,0.001037377298850575,0.9542133333333332,0.7449,1.0,0.05540706249849963,0.0030699425747126438,0.9654900000000002,0.8241,1.0,0.04872782501850953,0.0023744009310344835,0.7410899999999999,0.5181,1.0,0.1369351226953341,0.018751227827586203,0.96174,0.8138,1.0,0.05374402035704,0.00288841972413793,0.6917766666666666,0.336,1.0,0.19186393469535018,0.0368117694367816,0.9990133333333333,0.9858,1.0,0.0031705251749603734,1.0052229885057506e-05,0.9746633333333332,0.6478,1.0,0.07825333080201252,0.006123583781609201
24,50,0.8,1500,0.9066266666666666,0.8492,0.9477,0.03226343006470685,0.0010409289195402295,0.8220133333333332,0.6593,0.9407,0.06345442422733806,0.004026463954022987,0.9813533333333333,0.9597,0.9935,0.009229365926340716,8.518119540229903e-05,0.5705366666666667,0.4003,0.7404,0.09612799112725134,0.009240590678160914,0.9404299999999999,0.8512,0.9887,0.031330938218559194,0.0009816276896551734,0.6491266666666667,0.4939,0.7795,0.07297870229392783,0.005325890988505747,0.9896766666666666,0.9781,1.0,0.005485321059558563,3.0088747126436676e-05,0.7729866666666668,0.6648,0.8854,0.05335410486314175,0.0028466605057471265
