,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
114,1.0,0.9869,1.0,0.9408,0.0706,1.0,0.2378,0.9869,15.3922,50,13423,24329,13247,14150,13423,22673,12628,22594,13423,22673,3192,17997,947,23251,13247,16588,36
115,1.0,0.9987,1.0,0.9541,0.0733,1.0,0.1516,0.9987,17.0784,50,14728,23712,14709,14784,14728,22009,14052,23866,14728,21141,2233,19303,1080,22571,14709,20017,37
116,0.8617,0.7706,0.9957,0.9271,0.0323,0.9303,0.3886,0.7566,10.8824,50,10415,23643,9314,16360,12035,24328,11206,24199,11244,21594,4697,17098,391,23988,9145,21705,42
117,0.8716,0.8523,1.0,0.9584,0.0193,1.0,0.1353,0.7545,10.2941,50,11244,23617,10995,17561,12900,24559,12364,24343,12900,23763,1746,19411,249,23415,9733,19036,47
118,0.9495,0.9495,0.9851,0.9584,0.3413,0.9644,0.545,0.7604,2.9216,50,5734,24045,5734,19590,5949,24081,5788,24051,5824,23936,3291,18443,2061,22833,4592,22665,78
119,0.9429,0.9429,0.9782,0.9782,0.3315,0.9651,0.5072,0.7625,2.9216,50,5185,24479,5185,19605,5379,24004,5379,24188,5307,24371,2789,17321,1823,23675,4193,22577,78
120,0.9444,0.9229,0.9775,0.9662,0.1985,0.9357,0.7013,0.7244,3.4706,50,4996,24698,4882,17907,5171,24241,5111,24103,4950,24336,3710,19505,1050,22510,3832,23035,68
121,1.0,0.9284,1.0,0.9336,0.3083,1.0,0.4488,0.7246,3.0392,50,6397,24431,5939,17411,6397,23671,5972,24302,6397,22367,2871,18959,1972,24049,4635,23461,82
122,1.0,0.9314,1.0,0.935,0.3017,1.0,0.4518,0.7315,3.0392,50,5874,24349,5471,17421,5874,23608,5492,24002,5874,22328,2654,18746,1772,23743,4297,23162,82
123,0.9325,0.8968,0.9974,0.9311,0.4222,0.9974,0.4037,0.7633,3.3137,50,6481,23885,6233,20139,6932,23759,6471,24255,6932,23318,2806,20196,2934,24355,5305,21944,72
124,1.0,0.9314,1.0,0.935,0.3017,1.0,0.4518,0.7315,3.0392,50,5874,24349,5471,17421,5874,23608,5492,24002,5874,22328,2654,18746,1772,23743,4297,23162,82
125,0.9961,0.9427,0.9961,0.995,0.183,0.9801,0.3416,0.8794,3.0784,50,4360,24343,4126,18005,4360,24403,4355,24168,4290,24086,1495,18414,801,23695,3849,21961,80
126,1.0,0.9307,1.0,0.9347,0.3037,1.0,0.4511,0.7298,3.0392,50,6003,24367,5587,17417,6003,23622,5611,24025,6003,22336,2708,18796,1823,23816,4381,23238,82
127,0.9556,0.8927,0.9434,0.9678,0.2281,0.9401,0.7022,0.7953,3.3529,50,4630,24492,4325,17741,4571,23686,4689,23900,4555,24109,3402,19311,1105,24201,3853,22783,68
128,0.9794,0.9681,1.0,1.0,0.1928,0.9239,0.6885,0.7515,3.549,50,6933,23935,6853,19527,7079,24183,7079,24219,6540,22633,4874,18817,1365,22969,5320,21682,74
129,0.9325,0.8968,0.9974,0.9311,0.4222,0.9974,0.4037,0.7633,3.3137,50,6481,23885,6233,20139,6932,23759,6471,24255,6932,23318,2806,20196,2934,24355,5305,21944,72
