x,n_points,theta,spans,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
10,25,0.8,20000,0.9395033333333332,0.8225,1.0,0.06332750932084422,0.00401037343678161,0.8826033333333333,0.6798,1.0,0.08300079967763226,0.00688913274712644,0.9133499999999999,0.5567,1.0,0.09763932485746045,0.009533437758620693,0.5204933333333334,0.2359,0.8775,0.1660283584695457,0.027565415816091964,0.9182500000000001,0.7862,1.0,0.07014639248963798,0.004920516379310341,0.5156666666666665,0.099,1.0,0.22680189492204397,0.05143909954022988,0.9919999999999999,0.8545,1.0,0.028056507020776788,0.0007871675862068971
11,25,0.8,30000,0.9961033333333335,0.8961,1.0,0.019035981960366617,0.0003623686091954032,0.9860033333333332,0.8961,1.0,0.03197955686796277,0.0010226920574712647,0.9942166666666667,0.8961,1.0,0.01986898611392646,0.00039477660919540246,0.77809,0.1935,1.0,0.2729078894122489,0.07447871610344828,0.99283,0.8981,1.0,0.0220170333746554,0.0004847497586206896,0.77094,0.0708,1.0,0.3359414045787521,0.1128566273103448,1.0,1.0,1.0,0.0,0.0
12,25,1.0,1500,0.9113933333333333,0.8122,0.9927,0.04594754080195291,0.0021111765057471275,0.8379766666666665,0.6197,0.9268,0.07473621512074796,0.005585501850574717,0.9810366666666668,0.9424,1.0,0.01560787783699986,0.0002436058505747114,0.6178400000000001,0.2358,0.9,0.1545914339421039,0.02389851144827587,0.9603900000000003,0.8957,0.9981,0.02588490906380354,0.0006700285172413787,0.6277599999999999,0.2484,0.9122,0.1432151807595829,0.020510588,0.9892366666666668,0.9654,1.0,0.011091888410263902,0.0001230299885057467
13,25,1.0,10000,0.8674266666666663,0.5602,1.0,0.10370204976969734,0.010754115126436783,0.8118266666666665,0.5519,0.9736,0.09511668309134234,0.00904718340229885,0.9000733333333333,0.6514,1.0,0.08089822014722269,0.006544522022988507,0.4254033333333333,0.0741,0.7864,0.17667611411520961,0.031214449298850568,0.9128766666666668,0.7659,1.0,0.06796277725309659,0.004618939091954022,0.45987666666666666,0.0528,0.7284,0.1688107115479742,0.028497056333333347,0.9801699999999998,0.9012,1.0,0.026861087738264792,0.0007215180344827591
14,25,1.0,20000,0.9341766666666669,0.7376,1.0,0.07433502299507386,0.005525695643678158,0.86482,0.7228,1.0,0.08152807597640087,0.006646827172413792,0.8849300000000003,0.634,1.0,0.10099064876477938,0.010199111137931035,0.36533333333333323,0.0301,0.7706,0.19291646098645973,0.03721676091954024,0.9444433333333333,0.7808,1.0,0.06945570994294248,0.004824095643678158,0.45346333333333333,0.0783,0.9401,0.22779097418365862,0.05188872791954023,0.9915933333333334,0.8959,1.0,0.025663202333749927,0.0006585999540229876
15,25,1.0,30000,0.9945999999999999,0.9467,1.0,0.014491894286117328,0.00021001500000000003,0.9834896551724138,0.875,1.0,0.03569032826999079,0.0012737995320197036,0.9689275862068965,0.5943,1.0,0.08358469996934555,0.006986402068965514,0.7915758620689657,0.1818,1.0,0.2204921016647801,0.048616766896551714,0.9912793103448275,0.9067,1.0,0.024811667464411408,0.0006156188423645316,0.7301655172413792,0.1282,1.0,0.2793022342448896,0.07800973805418718,1.0,1.0,1.0,0.0,0.0
16,50,0.0,1500,0.9121766666666666,0.846,0.97,0.03225658642535028,0.001040487367816092,0.8816666666666666,0.7691,0.97,0.04982938707321166,0.002482967816091953,0.9735266666666664,0.9549,0.9942,0.009192348142222296,8.449926436781768e-05,0.5992133333333335,0.4251,0.8084,0.09214477639069918,0.008490659816091954,0.8562166666666666,0.726,0.9657,0.059416606777226356,0.0035303331609195412,0.7768466666666668,0.7103,0.8731,0.04699811245904079,0.002208822574712645,0.9890266666666668,0.9718,1.0,0.007707673441775897,5.940822988505751e-05
17,50,0.0,10000,0.7872966666666668,0.6408,0.9667,0.07639046015242253,0.005835502402298853,0.7100066666666667,0.5804,0.8412,0.06428701232770884,0.004132819954022988,0.8667333333333335,0.7303,0.96,0.057700853596347496,0.0033293885057471277,0.5250866666666666,0.3421,0.6743,0.08955675423933729,0.008020412229885057,0.7294633333333331,0.5171,0.9429,0.10125964060815125,0.010253514816091953,0.62929,0.4097,0.7619,0.08876007703839645,0.007878351275862071,0.9806466666666668,0.9152,1.0,0.018351524099692873,0.0003367784367816083
18,50,0.0,20000,0.8079866666666666,0.6228,1.0,0.09001670240929556,0.008103006712643678,0.7160066666666667,0.5684,0.8673,0.07038314322744268,0.0049537868505747104,0.8074633333333331,0.4958,0.9711,0.11719232787449733,0.013734041712643684,0.6031233333333331,0.2755,0.8887,0.1620509747033286,0.026260518402298847,0.7183633333333334,0.4659,0.8812,0.10779479382007574,0.01161971757471264,0.5635033333333334,0.366,0.8906,0.11614586988762891,0.013489863091954024,0.9791866666666666,0.895,1.0,0.02755763531886971,0.0007594232643678151
19,50,0.0,30000,0.9673166666666667,0.799,1.0,0.05882862359449682,0.0034608069540229885,0.8772366666666667,0.6508,1.0,0.11587386270195386,0.013426752057471255,0.8546333333333332,0.6234,1.0,0.1279775608923456,0.016378256091954025,0.6767766666666667,0.2452,1.0,0.16835372794400394,0.02834297771264369,0.9152199999999998,0.6508,1.0,0.11045983947992606,0.012201376137931031,0.6665533333333332,0.3418,0.9488,0.14150685308939764,0.020024189471264366,0.9944600000000001,0.9461,1.0,0.015053229691263314,0.0002265997241379314
20,50,0.4,1500,0.8833366666666667,0.7703,0.9599,0.04931016880042528,0.002431492747126435,0.8585833333333333,0.7539,0.9505,0.05002675203868655,0.0025026759195402285,0.9678833333333333,0.9182,0.9940000000000001,0.017313619979126525,0.0002997614367816092,0.5297433333333335,0.3277,0.7118,0.0986848438327733,0.009738698402298856,0.8915433333333331,0.7908,0.9836,0.051844826053384994,0.0026878859885057474,0.6964633333333333,0.5895,0.8554,0.06989816969303829,0.004885754126436776,0.9862366666666665,0.9723,1.0,0.007476652548656605,5.5900333333333304e-05
21,50,0.4,10000,0.7876866666666663,0.6691,0.9119,0.06842548291860041,0.004682046712643677,0.7159500000000001,0.625,0.8046,0.04871017559911431,0.002372681206896551,0.8850633333333332,0.8056,0.9897,0.04975552981454867,0.0024756127471264417,0.5121533333333333,0.1931,0.8042,0.16939158822361736,0.02869351016091954,0.7795299999999998,0.6198,0.9072,0.08065340555479482,0.006504971827586207,0.5491500000000001,0.3077,0.777,0.11337590436091426,0.012854095689655176,0.9694133333333333,0.9186,1.0,0.024202845847677436,0.0005857777471264369
22,50,0.4,20000,0.8405933333333331,0.6148,1.0,0.09384321456312239,0.008806548919540226,0.7008799999999998,0.5465,0.9620000000000001,0.09765717446321047,0.009536923724137928,0.7963300000000001,0.4881,1.0,0.12509805299071994,0.01564952286206897,0.47769333333333325,0.2778,0.6921,0.12487004812820499,0.01559252891954023,0.7816533333333334,0.45899999999999996,1.0,0.12926930118897162,0.01671055222988506,0.5209199999999999,0.1945,0.8417,0.1762381781801998,0.03105989544827585,0.97597,0.8909,1.0,0.03640290013077302,0.0013251711379310344
23,50,0.4,30000,0.97345,0.8149,1.0,0.052511258234585405,0.0027574322413793134,0.9172433333333335,0.6604,1.0,0.09664420593201585,0.009340102540229888,0.8930233333333333,0.5442,1.0,0.13363467618159938,0.017858226678160928,0.6276066666666666,0.29600000000000004,1.0,0.18563098346716936,0.03445886202298851,0.9408566666666668,0.6561,1.0,0.10169615556878864,0.010342108057471261,0.5899733333333333,0.0996,1.0,0.19752695832308012,0.03901689926436783,1.0,1.0,1.0,0.0,0.0
24,50,0.8,1500,0.8718866666666668,0.7514,0.9382,0.048347796963919346,0.0023375094712643684,0.8373133333333331,0.6661,0.9182,0.06003254136706613,0.0036039060229885057,0.9768066666666668,0.9459,0.9948,0.012519307387841561,0.0001567330574712643,0.4501,0.1766,0.5988,0.09873934337959961,0.009749457931034482,0.9188366666666669,0.8258,0.9840000000000001,0.03874407170076511,0.001501103091954028,0.6212966666666666,0.4836,0.8575,0.0855173726384792,0.00731322102298851,0.9881533333333334,0.9627,1.0,0.009434044488038988,8.900119540229883e-05
25,50,0.8,10000,0.7872266666666666,0.6075,0.9165,0.07648633834890377,0.005850159954022988,0.6941533333333333,0.5457,0.8191,0.06798539768840492,0.004622014298850573,0.8876700000000002,0.7401,1.0,0.04666594527357037,0.0021777104482758646,0.38994000000000006,0.1917,0.59,0.11434208384462403,0.013074112137931033,0.8294766666666666,0.6112,0.9901,0.08872841819508731,0.0078727321954023,0.47836666666666666,0.1976,0.6502,0.12547342164868977,0.01574357954022989,0.9750933333333334,0.9165,1.0,0.026868452637367073,0.0007219137471264376
26,50,0.8,20000,0.8470800000000002,0.6578,1.0,0.09536770363467773,0.009094998896551722,0.76923,0.6358,0.9921,0.09209868826053028,0.008482168379310338,0.8031366666666667,0.5286,1.0,0.1414297790505905,0.020002382402298853,0.4608933333333333,0.1006,0.7823,0.1556208609660546,0.02421785236781609,0.8706633333333333,0.6904,1.0,0.08382673626381786,0.007026921712643676,0.3876333333333334,0.0514,0.7874,0.19384929683921343,0.03757754988505748,0.9905533333333333,0.9392,1.0,0.017681701691654107,0.0003126425747126437
27,50,0.8,30000,0.9731433333333332,0.8208,1.0,0.04468739453005802,0.0019969632298850594,0.9469133333333335,0.7951,1.0,0.06057127311223351,0.0036688791264367824,0.92811,0.5561,1.0,0.11361568417104732,0.012908523689655173,0.5500200000000001,0.09300000000000001,1.0,0.22867499056596638,0.05229225131034482,0.9777966666666668,0.8841,1.0,0.036634678157152704,0.0013420996436781614,0.46082666666666666,0.0524,1.0,0.24215438069949102,0.058638744091954034,1.0,1.0,1.0,0.0,0.0
28,50,1.0,1500,0.8597133333333334,0.7609,0.9663,0.05704708722555026,0.0032543701609195398,0.8263200000000002,0.6893,0.9501,0.07040997382326669,0.004957564413793102,0.9726899999999998,0.9266,1.0,0.01795967417721504,0.00032254989655172467,0.43274666666666667,0.1774,0.7949,0.12311940583008847,0.015158388091954024,0.9494700000000001,0.8548,1.0,0.03570790649431715,0.0012750545862068965,0.5694066666666665,0.3308,0.7803,0.12518581481096433,0.015671488229885056,0.9865833333333331,0.945,1.0,0.01214873580292187,0.0001475917816091957
29,50,1.0,10000,0.7954666666666665,0.5546,0.9817,0.1088785794243811,0.011854545057471265,0.7031466666666669,0.5483,0.935,0.09239782328132214,0.008537357747126436,0.9085133333333334,0.7709999999999999,0.9877,0.05306205692448672,0.002815581885057469,0.3699300000000001,0.1538,0.6532,0.13961918687926664,0.019493517344827585,0.8424733333333331,0.6408,0.9793,0.09404075761048515,0.008843664091954022,0.4218166666666667,0.1786,0.6593,0.09935709572679934,0.009871832471264367,0.9809533333333336,0.9348,1.0,0.018024633208441457,0.00032488740229885053
30,50,1.0,20000,0.8663133333333335,0.5987,1.0,0.1067527395540688,0.011396147402298846,0.7639766666666667,0.5543,0.9956,0.12071947156980083,0.01457319081609195,0.81156,0.4082,1.0,0.16216230609251148,0.02629661351724139,0.3768200000000001,0.0855,0.7772,0.1822465768090602,0.03321381475862068,0.8631566666666667,0.6883,1.0,0.09276772879480841,0.008605851505747124,0.4118433333333334,0.0762,0.7945,0.19793697130449228,0.0391790446091954,0.9946966666666666,0.9328,1.0,0.014516945706438314,0.0002107417126436778
31,50,1.0,30000,0.9761666666666665,0.8225,1.0,0.054025692057565085,0.002918775402298851,0.9650500000000001,0.7662,1.0,0.06246176623646909,0.0039014722413793098,0.9345133333333334,0.6932,1.0,0.09354030565274628,0.008749788781609197,0.56151,0.0189,0.9697,0.24889334975391392,0.06194789955172412,0.9681633333333334,0.8225,1.0,0.053710414345780284,0.0028848086091954007,0.5041766666666666,0.0227,1.0,0.27986995339995313,0.07832719081609195,1.0,1.0,1.0,0.0,0.0
32,75,0.0,1500,0.8968399999999999,0.7968,0.9638,0.044804614910089066,0.0020074535172413754,0.8524499999999998,0.7675,0.9494,0.04491843757837934,0.0020176660344827613,0.9725933333333335,0.9425,0.9929,0.012128846587381245,0.00014710891954022967,0.5050499999999999,0.3558,0.6784,0.08855051451397476,0.007841193620689656,0.7822566666666669,0.6579,0.8991,0.057835418591708654,0.0033449356436781592,0.7582199999999999,0.6335,0.8569,0.04950323152112886,0.0024505699310344857,0.9930066666666667,0.9802,1.0,0.005463921374032495,2.985443678160915e-05
33,75,0.0,10000,0.7638566666666671,0.6175,0.8895,0.06347926994416113,0.004029617712643678,0.6720266666666667,0.5789,0.8159,0.054184359197181536,0.0029359447816091917,0.8730999999999999,0.7553,0.9668,0.05303518025638817,0.0028127303448275856,0.5178966666666667,0.3104,0.6663,0.09493181031243113,0.009012048609195404,0.6940599999999999,0.5351,0.8199,0.0838418815595659,0.007029461103448278,0.5918633333333335,0.3803,0.7362,0.07867339507072274,0.0061895030919540215,0.9786566666666665,0.9412,1.0,0.01588833194372596,0.0002524390919540227
34,75,0.0,20000,0.7955466666666667,0.611,0.8885,0.06821557984312188,0.004653365333333336,0.6796599999999999,0.5429,0.8443,0.0686606126111465,0.004714279724137931,0.80509,0.435,0.9566,0.126277017184306,0.015945885068965514,0.5656200000000001,0.2581,0.7837,0.13635205042525916,0.018591881655172417,0.6975633333333332,0.4796,0.9036,0.12417501687574659,0.01541943481609195,0.5744266666666668,0.2519,0.8401,0.11749286092276454,0.01380457236781609,0.97438,0.8887,1.0,0.031209043782101067,0.0009740044137931013
35,75,0.0,30000,0.9535166666666667,0.7157,1.0,0.07576453124914255,0.005740264195402298,0.84947,0.6745,1.0,0.10800426603962744,0.011664921482758621,0.8384900000000002,0.5074,1.0,0.11619839559103662,0.013502067137931038,0.65555,0.3182,1.0,0.1807406157243407,0.03266717017241379,0.9009066666666666,0.5847,1.0,0.10687280526751008,0.011421796505747131,0.5705100000000001,0.2415,0.985,0.19691818421837548,0.038776771275862064,1.0,1.0,1.0,0.0,0.0
36,75,0.4,1500,0.8778099999999999,0.8140000000000001,0.9423,0.037009619905063074,0.001369711965517241,0.8369933333333335,0.7616,0.9403,0.04803387406269939,0.0023072530574712656,0.9761733333333332,0.9461,0.9978,0.012898648240679381,0.0001663751264367813,0.44875000000000004,0.2377,0.5755,0.09281378743447027,0.008614399137931033,0.8456233333333335,0.7185,0.9225,0.05508931108120975,0.0030348321954022993,0.7014099999999999,0.5375,0.8225,0.06720611810203612,0.004516662310344827,0.9906233333333333,0.976,0.9986,0.005943102831380914,3.5320471264367835e-05
37,75,0.4,10000,0.753,0.6263,0.9303,0.07758704122156766,0.006019748965517239,0.6570966666666667,0.5507,0.7828,0.05740101214614862,0.003294876195402302,0.8552766666666666,0.7333,0.9881,0.06665479098249083,0.004442861160919541,0.42843666666666663,0.2353,0.598,0.08981486123604811,0.008066709298850576,0.7345300000000001,0.5838,0.8754,0.07236225511630522,0.00523629596551724,0.5523699999999999,0.2242,0.8137,0.1344708689129616,0.0180824145862069,0.9787899999999998,0.9096,1.0,0.02289953093933105,0.0005243885172413801
38,75,0.4,20000,0.7945033333333335,0.5664,0.9135,0.08749534168224017,0.0076554348160919545,0.7027366666666666,0.4971,0.8673,0.09311236624168906,0.008669912747126435,0.7759966666666666,0.4991,0.9634,0.10237385672245568,0.010480406540229883,0.5375666666666666,0.1992,0.792,0.13968380137945882,0.0195115643678161,0.7369233333333332,0.4773,0.9699,0.12704130656881898,0.016139493574712647,0.5231799999999999,0.2919,0.7027,0.10100582229718756,0.010202176137931033,0.9708666666666667,0.8895,1.0,0.03341089367394945,0.0011162878160919554
39,75,0.4,30000,0.9668033333333332,0.6992,1.0,0.06834315788639748,0.004670787229885055,0.9128999999999999,0.6992,1.0,0.09874121523561927,0.00974982758620689,0.8302633333333332,0.4489,1.0,0.14711679967674132,0.021643352747126435,0.5453366666666667,0.1376,0.9538,0.21723865548465723,0.0471926334367816,0.9511900000000001,0.7232,1.0,0.07764952805327635,0.006029449206896551,0.5613500000000001,0.1964,0.8651,0.19578726975980845,0.038332655,1.0,1.0,1.0,0.0,0.0
40,75,0.8,1500,0.8725466666666666,0.7735,0.9463,0.04864683945032553,0.0023665149885057483,0.8336266666666667,0.7537,0.8906,0.03909511772440462,0.0015284282298850564,0.9759733333333334,0.9483,0.9940000000000001,0.011190572797682433,0.00012522891954023005,0.40084333333333333,0.1881,0.5245,0.08514633117547506,0.007249897712643677,0.89244,0.7727,0.9749,0.048187211066265584,0.0023220073103448285,0.6009733333333335,0.3909,0.7484,0.09128992063308741,0.0083338496091954,0.9874866666666666,0.9736,1.0,0.0068127028072733214,4.64129195402298e-05
41,75,0.8,10000,0.7460233333333333,0.5923,0.8919,0.06926678899350874,0.004797888057471265,0.6678599999999999,0.5179,0.8731,0.0773537757364801,0.005983606620689657,0.8711533333333333,0.7768,0.9584,0.04996219766385683,0.002496221195402301,0.3708033333333333,0.1151,0.6226,0.12235625058602959,0.014971052057471264,0.7940000000000002,0.5293,0.9626,0.08765556024223055,0.007683497241379308,0.4693500000000001,0.16699999999999998,0.669,0.12068516107396252,0.014564908103448276,0.9736966666666667,0.9132,1.0,0.023454394240640775,0.0005501086091954032
42,75,0.8,20000,0.8666933333333333,0.6204,1.0,0.08387292084203765,0.007034666850574715,0.7256700000000001,0.5857,0.9161,0.06922449810530251,0.004792031137931031,0.7821966666666664,0.5837,0.9979,0.11525408058699708,0.01328350309195402,0.4307033333333333,0.19899999999999998,0.7157,0.13803593605897763,0.019053919643678162,0.8298100000000002,0.5865,1.0,0.09962755590975682,0.009925649896551722,0.40284000000000014,0.0767,0.7094,0.1212762210538548,0.014707921793103453,0.98734,0.9322,1.0,0.02099004033115344,0.00044058179310344804
43,75,0.8,30000,0.9886833333333332,0.8386,1.0,0.03731108814884088,0.0013921172988505747,0.9421366666666666,0.6909,1.0,0.08517384446888138,0.007254583781609195,0.8823,0.3103,1.0,0.14728347988921178,0.021692423448275853,0.43919333333333327,0.0898,0.9059999999999999,0.19934825692799493,0.039739727540229884,0.9610366666666669,0.8027,1.0,0.05661410500094012,0.0032051568850574733,0.41967666666666664,0.1353,0.75,0.17769218771435238,0.031574513574712644,0.9993433333333334,0.9803,1.0,0.003596711460950584,1.2936333333333284e-05
44,75,1.0,1500,0.8796666666666666,0.7578,0.9668,0.048679956459712855,0.0023697381609195396,0.84422,0.6990000000000001,0.9440000000000001,0.06084697255382159,0.003702354068965518,0.9740366666666666,0.9269,0.9990000000000001,0.017050502739748227,0.0002907196436781618,0.3966066666666668,0.1286,0.7020000000000001,0.12093224644355641,0.01462460822988506,0.9232900000000002,0.8506,0.9907,0.03610490796706654,0.0013035643793103445,0.5614133333333332,0.3859,0.7161,0.08762645929065085,0.007678396367816091,0.9895166666666666,0.9614,1.0,0.009330487045473393,8.70579885057468e-05
