,seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std
274,55,70,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,276.818,21.1755,4922.48,55.1703,25.9697,2.136
275,42,60,100,2,10,5,2500,5,0.5,1,8,1,33,50,0,141.394,5.55619,2475.82,24.8925,16.1515,0.395285
276,41,60,100,2,10,1,2500,10,0.5,1,6,1,33,50,0,242.03,20.968,2447.71,42.5959,10.7273,1.47902
277,26,40,100,2,10,5,2500,5,0.5,1,6,1,33,50,0,150.061,13.7658,2440.04,47.442,14.3333,1.10397
278,51,70,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,240.273,15.1085,2496.39,4.93039,11.8788,1.18585
279,76,100,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,266.818,7.73165,4990.53,7.90465,32.3636,0.75
280,31,40,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,200.758,19.5177,4757.63,286.347,24.7576,5.18712
281,36,50,100,2,10,1,5000,5,0.5,1,2,1,33,50,0,284.485,22.3972,4955.52,88.5421,19.0303,2.09911
282,21,30,100,2,10,1,5000,10,0.5,1,8,1,33,50,0,140.182,16.4116,3695.3,317.661,23.5758,2.05396
283,6,10,100,2,10,5,5000,5,0.5,1,2,1,33,50,0,53.3939,10.0279,1894.21,544.903,7.66667,1.22474
284,7,10,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,51.9091,9.83731,2037.46,890.961,7.66667,2.37171
285,76,100,100,2,10,1,5000,5,0.5,1,3,1,33,50,0,357.758,19.7943,4929.48,68.6143,24.6667,4.80234
286,73,100,100,2,10,1,2500,10,0.5,1,3,1,33,50,0,262.97,15.1894,2434.37,43.737,5.63636,1.1592
287,47,60,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,310.485,22.2993,4900.33,101.516,25.8485,1.88746
288,66,90,100,2,10,5,2500,5,0.5,1,3,1,33,50,0,166.0,10.2103,2451.16,35.3097,14.4242,1.06066
289,43,60,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,222.848,15.8472,2495.3,5.10811,11.9394,1.33463
290,15,20,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,98.8182,13.5172,3137.42,620.171,13.5455,4.06971
291,66,90,100,2,10,5,2500,5,0.5,1,2,1,33,50,0,207.333,15.5717,2496.3,4.8055,13.6667,1.14564
292,32,50,100,2,10,1,2500,5,0.5,1,3,1,33,50,0,161.97,9.93883,2439.86,46.0516,12.4848,2.38485
293,34,50,100,2,10,5,2500,5,0.5,1,3,1,33,50,0,137.909,11.9853,2441.9,39.9781,14.9394,1.57123
294,35,50,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,153.424,14.4677,2444.52,38.1553,12.8485,1.78536
295,0,10,100,2,10,1,2500,5,0.5,1,0,1,33,50,0,51.7879,9.59087,1746.13,323.22,7.81818,2.28446
296,29,40,100,2,10,1,5000,10,0.5,1,0,1,33,50,0,231.121,20.3359,4495.53,254.268,13.6364,3.93303
297,53,70,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,374.212,24.9934,4930.71,53.6295,22.5455,1.92029
298,17,30,100,2,10,1,2500,10,0.5,1,0,1,33,50,0,154.576,17.7817,2477.89,22.2256,10.3636,1.56125
299,16,30,100,2,10,1,2500,5,0.5,1,3,1,33,50,0,127.758,12.1425,2424.6,41.3937,14.3333,1.46842
300,27,40,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,142.606,11.1073,2435.78,48.3746,13.1818,1.83712
301,61,80,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,443.697,26.0702,4992.12,7.37291,15.7576,1.8456
302,65,90,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,151.364,5.15884,2488.06,14.3558,16.5152,0.728869
303,54,70,100,2,10,5,5000,5,0.5,1,2,1,33,50,0,290.818,20.5175,4994.03,5.24097,27.6667,1.43614
304,74,100,100,2,10,5,2500,5,0.5,1,6,1,33,50,0,209.545,15.768,2454.45,39.157,13.9091,1.32288
305,19,30,100,2,10,5,2500,10,0.5,1,0,1,33,50,0,148.848,11.2947,2478.72,16.7169,12.0909,1.31101
306,9,20,100,2,10,1,2500,10,0.5,1,0,1,33,50,0,108.848,12.9666,2405.58,95.1428,11.2121,1.6298
307,32,50,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,137.636,7.7533,2474.14,24.9161,16.1212,0.433013
308,72,100,100,2,10,1,2500,5,0.5,1,3,1,33,50,0,227.061,13.0335,2444.4,53.8941,9.81818,2.62797
309,10,20,100,2,10,5,2500,5,0.5,1,0,1,33,50,0,98.6667,14.6792,2442.59,75.4095,14.2424,1.22474
310,78,100,100,2,10,5,5000,5,0.5,1,8,1,33,50,0,265.818,9.86298,4986.57,13.3714,32.3939,0.684653
311,33,50,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,137.576,6.88763,2480.71,20.6928,16.2121,0.586302
312,19,30,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,148.0,11.0397,2490.39,7.27556,12.2424,1.06066
313,14,20,100,2,10,5,5000,5,0.5,1,8,1,33,50,0,101.909,11.2704,2761.25,226.774,17.3636,1.47902
314,68,90,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,252.697,12.8026,4975.39,22.6578,31.9091,1.14564
